index,prediction
0,88.0 centimetre
1,24.0 centimetre
2,22.0 centimetre
3,24.0 centimetre
4,90.0 centimetre
5,9.50 centimetre
6,9.50 centimetre
7,5.0 centimetre
8,30.0 centimetre
9,30.0 centimetre
10,1.0 litre
11,19.5 centimetre
12,12.0 volt
13,5.0 centimetre
14,5.0 centimetre
15,1.0 litre
16,5.0 centimetre
17,1.0 litre
18,8.0 centimetre
19,240.0 volt
20,5.0 centimetre
21,5.0 centimetre
22,1.0 gram
23,5.0 inch
24,5.0 volt
25,5.0 centimetre
26,12.0 volt
27,1.0 litre
28,1.0 ounce
29,2.2 pound
30,1.0 litre
31,1.0 ounce
32,5.0 centimetre
33,12.0 volt
34,5.0 centimetre
35,1.0 litre
36,45.0 centimetre
37,5.0 volt
38,5.0 centimetre
39,320 volt
40,320 pound
41,5.0 centimetre
42,5.0 centimetre
43,5.0 centimetre
44,236.0 inch
45,5.0 centimetre
46,5.0 inch
47,4.0 centimetre
48,6.0 centimetre
49,5.0 volt
50,1.0 centimetre
51,200.0 millilitre
52,20.0 millimetre
53,12.0 volt
54,5.0 centimetre
55,96.52 centimetre
56,1.0 litre
57,5.0 centimetre
58,120 pound
59,1.0 inch
60,5.0 volt
61,1.0 litre
62,2800.0 millimetre
63,5.0 millimetre
64,280 millimetre
65,5.0 volt
66,1.0 litre
67,5.0 centimetre
68,5.0 centimetre
69,5.0 centimetre
70,12.0 volt
71,5.0 centimetre
72,5.0 centimetre
73,12.0 volt
74,2300.0 millimetre
75,230 millimetre
76,4.7 inch
77,5.0 inch
78,1.0 litre
79,10.0 centimetre
80,1.0 litre
81,243.8 inch
82,55.0 kilogram
83,1.0 litre
84,5.0 centimetre
85,5.0 centimetre
86,12.0 volt
87,6.0 centimetre
88,5.0 volt
89,1.0 litre
90,60.0 centimetre
91,5.0 centimetre
92,5.0 centimetre
93,5.0 centimetre
94,1.0 litre
95,12.5 centimetre
96,12.5 centimetre
97,5.0 millimetre
98,5.0 centimetre
99,14.9 inch
100,37.0 inch
101,1.0 litre
102,5.0 inch
103,62.0 centimetre
104,69.0 centimetre
105,7.5 centimetre
106,7.5 centimetre
107,5.0 centimetre
108,1.0 litre
109,5.0 centimetre
110,5.0 centimetre
111,1.0 litre
112,5.0 centimetre
113,1.0 litre
114,1.0 litre
115,5.0 centimetre
116,1.0 litre
117,1 kilogram
118,10.0 centimetre
119,45.0 centimetre
120,1.0 ounce
121,12.0 volt
122,250.0 millilitre
123,5.0 inch
124,1.0 litre
125,1.0 litre
126,12.0 volt
127,129.0 centimetre
128,5.0 centimetre
129,1.0 litre
130,30.0 centimetre
131,40.0 centimetre
132,44.0 inch
133,44.0 volt
134,50 pound
135,20.0 centimetre
136,20.0 centimetre
137,5.0 centimetre
138,29.95 centimetre
139,11.5 millimetre
140,11.5 millimetre
141,14.0 centimetre
142,20.0 centimetre
143,20.0 centimetre
144,35.0 centimetre
145,90.0 centimetre
146,8.0 centimetre
147,
148,50 centimetre
149,5.0 centimetre
150,1.0 litre
151,5.0 centimetre
152,8.0 centimetre
153,8.0 centimetre
154,5.0 centimetre
155,5.0 centimetre
156,35.0 millimetre
157,30.3 inch
158,30.3 inch
159,2.311 pound
160,25.0 centimetre
161,1.0 litre
162,5.0 centimetre
163,5.0 centimetre
164,1.0 litre
165,6.0 inch
166,6.0 inch
167,6 gram
168,50.0 centimetre
169,35.0 centimetre
170,1.0 litre
171,5.0 centimetre
172,1.0 ounce
173,7.8 inch
174,7.8 inch
175,5.0 centimetre
176,1.0 litre
177,23.8 inch
178,20 pound
179,5.0 inch
180,3.0 inch
181,1.0 gram
182,5.0 centimetre
183,5.0 centimetre
184,12.0 volt
185,1.0 litre
186,7.19 centimetre
187,5.0 centimetre
188,2.7 inch
189,2.7 inch
190,1.0 litre
191,66.0 centimetre
192,66.0 centimetre
193,6.2 pound
194,20.0 centimetre
195,5.0 centimetre
196,5.0 centimetre
197,5.0 pound
198,33 gram
199,1.0 litre
200,37.5 centimetre
201,37.5 centimetre
202,37.5 centimetre
203,13.2 inch
204,12.0 inch
205,5.0 watt
206,5.0 volt
207,5.0 centimetre
208,1.0 litre
209,1.0 litre
210,23.5 millimetre
211,1.0 ounce
212,1280.0 centimetre
213,240 volt
214,5.0 centimetre
215,5.0 centimetre
216,5.0 volt
217,1.0 inch
218,1.0 litre
219,83.0 gram
220,5.0 volt
221,1.0 inch
222,43.18 centimetre
223,5.0 pound
224,5.0 volt
225,1123 pound
226,5.0 centimetre
227,1.0 litre
228,30.0 millimetre
229,5.0 centimetre
230,12.0 volt
231,25.0 centimetre
232,1.0 gram
233,70.0 centimetre
234,70 centimetre
235,5.0 centimetre
236,77.0 centimetre
237,183.0 centimetre
238,5.0 volt
239,5.0 centimetre
240,5.0 centimetre
241,7.0 centimetre
242,77.0 centimetre
243,21.5 centimetre
244,3.5 centimetre
245,76.0 centimetre
246,76.0 centimetre
247,78.0 centimetre
248,5.0 centimetre
249,4.6 inch
250,4.6 inch
251,97.0 centimetre
252,1.0 litre
253,1.0 litre
254,35.0 centimetre
255,16.0 centimetre
256,16.0 centimetre
257,16.0 centimetre
258,5.0 centimetre
259,12.0 volt
260,6.0 inch
261,
262,5.0 centimetre
263,20.0 millimetre
264,20.0 centimetre
265,6.5 centimetre
266,2.3 inch
267,116.0 inch
268,20.0 centimetre
269,20.0 centimetre
270,7.0 centimetre
271,5.0 centimetre
272,5.0 centimetre
273,1.0 litre
274,6.4 inch
275,6.0 inch
276,1.0 litre
277,5.0 centimetre
278,12.0 volt
279,5.0 centimetre
280,1.9 inch
281,1.0 gram
282,12.0 volt
283,5.0 centimetre
284,1.0 litre
285,16.5 centimetre
286,68.0 centimetre
287,12.0 volt
288,12.0 volt
289,5.0 centimetre
290,7.0 ounce
291,30.0 centimetre
292,30.0 centimetre
293,25.0 centimetre
294,5.0 inch
295,4.4 inch
296,5.0 centimetre
297,63.0 inch
298,5.0 inch
299,5.0 volt
300,5.0 volt
301,12.0 volt
302,5.0 centimetre
303,1.0 litre
304,12.0 volt
305,30.0 millimetre
306,1.0 gram
307,5.0 centimetre
308,45 pound
309,1.8 inch
310,0.9 inch
311,5.0 centimetre
312,1.0 litre
313,1.0 litre
314,21.0 centimetre
315,21.0 centimetre
316,5.0 centimetre
317,7.5 centimetre
318,7.5 centimetre
319,1.0 litre
320,7.5 centimetre
321,7.5 centimetre
322,5.0 centimetre
323,12.0 volt
324,5.0 centimetre
325,15.5 centimetre
326,15.5 centimetre
327,12.0 volt
328,5.0 centimetre
